ind,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply,TotalCoinSupply_orig,sort_orig
NANAS,BananaBits,Scrypt,TRUE,PoW/PoS,,0,0.00,301
ACP,Anarchists Prime,SHA-256,TRUE,PoW,14747200,53760000,53760000.00,302
DRZ,Droidz,QUAIT,TRUE,PoW/PoS,8568038.359,5060000,5060000.00,303
BSC,BowsCoin,X11,TRUE,PoW,15863837.5,21000000,21000000.00,304
DRKT,DarkTron,SHA-256,TRUE,PoW/PoS,,1500000,1500000.00,305
CIRC,CryptoCircuits,vDPOS,TRUE,PoS,0,0,0.00,306
EPY,Empyrean,Scrypt,TRUE,PoW,,100000,100000.00,307
SQL,Squall Coin,X11,TRUE,PoS/PoW,329200.0164,0,0.00,308
CHA,Charity Coin,Scrypt,TRUE,PoW,,500000,500000.00,309
MIL,Milllionaire Coin,X11,TRUE,PoW/PoS,0,0,0.00,310
QTZ,Quartz,SHA-256,TRUE,PoW/PoS,,0,0.00,311
SPC,SpinCoin,NIST5,TRUE,PoW/PoS,,0,0.00,312
DUB,DubCoin,X15,TRUE,PoW/PoS,,0,0.00,313
GRAV,Graviton,SHA-256,TRUE,PoW/PoS,,0,0.00,314
HEDGE,Hedgecoin,X13,TRUE,PoW,,33000000,33000000.00,315
SONG,Song Coin,Scrypt,TRUE,PoW,32565300,210240000,210240000.00,316
XSEED,BitSeeds,SHA-256,TRUE,PoW/PoS,,0,0.00,317
CHIP,Chip,X11,TRUE,PoW,,0,0.00,318
SPEC,SpecCoin,Scrypt,TRUE,PoW,,3000000000,3000000000.00,319
SPRTS,Sprouts,SHA-256,TRUE,PoW/PoS,,0,0.00,320
ZNY,BitZeny,Scrypt,TRUE,PoW,75614500,250000000,250000000.00,321
DIGS,Diggits,Scrypt,TRUE,PoS,100000000,100000000,100000000.00,322
EXP,Expanse,Ethash,TRUE,PoW,10495278,16906397,16906397.00,323
MAPC,MapCoin,X11,TRUE,PoS,0,2228921.18,2228921.18,324
CON,Paycon,X13,TRUE,PoW/PoS,23042604,50000000,50000000.00,325
SC,Siacoin,Blake2b,TRUE,PoW,33098296530,0,0.00,326
LYB,LyraBar,Lyra2RE,TRUE,PoW/PoS,,0,0.00,327
EMC,Emercoin,SHA-256,TRUE,PoW/PoS,43059794.8,1000000000,1000000000.00,328
BLITZ,BlitzCoin,X13,TRUE,PoS,0,3852156,3852156.00,329
BHIRE,BitHIRE,Scrypt,FALSE,PoS,,42000000,42000000.00,330
EGC,EverGreenCoin,X15,TRUE,PoW/PoS,13530556.42,26298000,26298000.00,331
MND,MindCoin,X11,TRUE,PoW,15867695,16000000,16000000.00,332
I0C,I0coin,SHA-256,TRUE,PoW,20997476.87,21000000,21000000.00,333
DCR,Decred,BLAKE256,TRUE,PoW/PoS,10365046.93,21000000,21000000.00,334
DOGED,DogeCoinDark,Scrypt,TRUE,PoW,0,16500000000,16500000000.00,335
RVR,Revolution VR,Scrypt,TRUE,PoW,210000000,210000000,210000000.00,336
HODL,HOdlcoin,1GB AES Pattern Search,TRUE,PoW,11448949,81962100,81962100.00,337
EDRC,EDRCoin,SHA-256,TRUE,PoW/PoS,3669691.845,22000000,22000000.00,338
HTC,Hitcoin,X11,TRUE,PoW/PoS,10996318099,26550000000,26550000000.00,339
